"","dominance10","prestige10","leadership10","dominance6","prestige6","leadership6","dominance4","prestige4","leadership4","MFQ_harm_s","MFQ_fair_s","MFQ_ingroup_s","MFQ_authority_s","MFQ_purity_s","gender","age","employment_rank"
"220",21,31,46,11,22,29,5,14,20,0.893405280177107,1.31161947414682,2.20852406013538,-0.634259484538146,0.604873939699808,"male","3",11
"222",14,34,50,8,21,31,4,13,20,-0.976015691081368,-0.603006678932208,-1.13978923400142,-0.416356812247095,-2.50705510361534,"female","3",11
"224",22,44,48,14,26,30,9,16,20,0.223109618453795,0.421504413974088,0.00350305743200036,-1.04313161684985,-0.677442713895233,"female","1",0
"225",15,37,43,7,21,25,4,12,17,0.792922202930468,0.518889806368496,0.395147378359494,-1.10229923481167,0.542298879251505,"female","1",1
"227",33,39,52,22,25,29,14,17,22,0.528507379024542,0.189722988846116,1.10601355878369,-0.825228944558798,-0.495010801853544,"male","1",6
"228",22,42,21,14,24,12,9,15,8,0.569490315689364,0.287108381240524,-0.820567374504717,-0.343722588150078,-0.734724505040314,"male","1",1
"229",41,52,46,24,32,26,15,21,19,-2.17514100061653,-0.83478810406018,-1.00619408744803,0.342219834414493,0.240010115616431,"male","1",0
"230",32,43,38,18,24,25,10,16,17,0.122626541207156,-0.603006678932208,-0.408532158536358,0.474021676473328,1.2200380055764,"female","1",7
"231",45,25,42,26,15,26,18,7,17,0.0406606678775125,0.713660591157311,-1.92307787585641,-1.93351010557027,-1.58960227410367,"female","1",0
"232",43,55,46,25,33,27,16,23,20,0.710956329600825,-1.85929919696648,0.281943126846971,0.89636041492023,0.479723818803201,"female","1",9
"234",21,48,35,11,28,22,7,19,15,0.223109618453795,0.421504413974088,0.807182594327852,0.0516829380264259,1.45975170876317,"female","1",2
"235",27,31,50,17,18,31,12,11,21,0.0406606678775125,2.29911992671396,-1.94346877089727,-1.52463797325857,-2.44448004316704,"male","1",0
"236",39,57,52,24,35,29,15,23,20,0.0816436045423341,0.98245265662444,0.415538273400359,0.968994639017247,-1.58960227410367,NA,"1",5
"237",30,47,48,18,29,30,13,20,20,0.305075491783438,-1.39573634671053,0.992809307271166,-0.0666522978972098,-0.917156417082003,"male","1",0
"239",27,44,51,13,23,29,9,15,19,-1.95170911337543,0.287108381240524,0.467569839790285,0.968994639017247,-0.489717532550322,"male","1",0
