"","dominance10","prestige10","leadership10","dominance6","prestige6","leadership6","dominance4","prestige4","leadership4","MFQ_harm_s","MFQ_fair_s","MFQ_ingroup_s","MFQ_authority_s","MFQ_purity_s","gender","age","employment_rank","percentage"
"235",NA,NA,NA,15,28,29,10,20,20,-0.0558643404487048,-0.27499636668077,-1.09555493753667,0.238154396509063,-0.995785245596961,"male",28,5,0
"236",NA,NA,NA,22,27,21,16,18,14,-0.280137240060293,-0.514312825026377,-0.722801943014451,-0.525606058767815,-0.492863404386375,"female",23,0,0
"240",NA,NA,NA,10,22,25,5,11,15,-0.280137240060293,1.16090238339287,0.39545704055221,-1.09842640022547,0.0100584368242115,"female",62,2,20
"241",NA,NA,NA,7,25,23,4,13,15,0.392681458774471,0.442953008356051,-2.02743742384222,-0.907486286406254,-1.16342585933382,"female",28,7,100
"242",NA,NA,NA,12,24,24,8,16,17,1.28977305722082,0.682269466701658,1.14096302959665,0.0472142826898431,-0.492863404386375,"female",36,8,100
"243",NA,NA,NA,16,22,18,10,13,12,1.06550015760923,0.921585925047265,-0.16367245123112,-1.48030662786391,-0.828144631860099,"female",30,2,50
"244",NA,NA,NA,22,28,20,14,19,14,-0.0558643404487048,-0.514312825026377,1.32733952685776,0.429094510328282,1.01590211924538,"male",24,11,10
"245",NA,NA,NA,15,19,26,9,14,17,-1.40150173811823,-1.47157865840881,0.2090805432911,0.0472142826898431,0.177699050561074,"male",32,7,0
"246",NA,NA,NA,9,20,19,7,13,12,-1.62577463772982,-3.38611032517366,-1.65468442932,-1.86218685550235,-0.492863404386375,"male",39,3,100
"247",NA,NA,NA,7,21,19,5,12,12,0.841227257997646,0.203636550010444,0.2090805432911,1.19285496560516,0.177699050561074,"female",30,7,20
"248",NA,NA,NA,11,21,21,5,14,15,1.06550015760923,0.682269466701658,0.76821003507443,-0.143725831129376,-0.660504018123237,"male",50,11,0
"249",NA,NA,NA,6,24,28,4,14,17,-0.0558643404487048,-2.18952803344563,-0.722801943014451,-0.907486286406254,-0.325222790649513,"male",47,7,50
"250",NA,NA,NA,6,15,18,4,9,11,-0.952955938895056,-0.753629283371985,0.39545704055221,-1.09842640022547,-0.660504018123237,"male",31,1,0
"251",NA,NA,NA,19,25,31,14,16,21,-0.728683039283468,0.442953008356051,0.2090805432911,0.810974737966721,0.345339664297936,"female",29,10,0
"159",NA,NA,NA,11,29,17,6,20,12,0.841227257997646,0.442953008356051,-1.09555493753667,-1.09842640022547,-2.33691015549186,"female",22,1,50
"253",NA,NA,NA,14,22,12,9,14,8,1.51404595683241,1.63953530008409,0.39545704055221,1.38379507942438,0.848261505508522,"male",59,5,50
"3",NA,NA,NA,10,27,18,6,20,13,-1.17722883850664,-0.514312825026377,-1.84106092658111,-0.907486286406254,-2.00162892801813,"female",30,1,0
